id,month,AM
PRJ_0124,декабрь 2022,Manager 08
PRJ_0063,декабрь 2022,Manager 08
PRJ_0024,декабрь 2022,Manager 02
PRJ_0049,декабрь 2022,Manager 02
PRJ_0064,декабрь 2022,Manager 02
PRJ_0065,декабрь 2022,Manager 02
PRJ_0076,декабрь 2022,Manager 02
PRJ_0152,декабрь 2022,Manager 02
PRJ_0094,декабрь 2022,Manager 02
PRJ_0109,декабрь 2022,Manager 02
PRJ_0025,декабрь 2022,Manager 08
PRJ_0026,декабрь 2022,Manager 08
PRJ_0149,декабрь 2022,Manager 07
PRJ_0112,декабрь 2022,Manager 03
PRJ_0160,декабрь 2022,Manager 01
PRJ_0028,декабрь 2022,Manager 01
PRJ_0030,декабрь 2022,Manager 08
PRJ_0062,декабрь 2022,Manager 01
PRJ_0100,декабрь 2022,Manager 01
PRJ_0156,декабрь 2022,Manager 06
PRJ_0032,декабрь 2022,Manager 08
PRJ_0069,декабрь 2022,Manager 01
PRJ_0147,декабрь 2022,Manager 01
PRJ_0073,декабрь 2022,Manager 02
PRJ_0035,декабрь 2022,Manager 08
PRJ_0036,декабрь 2022,Manager 04
PRJ_0095,декабрь 2022,Manager 04
PRJ_0146,декабрь 2022,Manager 01
PRJ_0111,декабрь 2022,Manager 01
PRJ_0139,январь 2023,Manager 01
PRJ_0151,январь 2023,Manager 01
PRJ_0079,январь 2023,Manager 04
PRJ_0067,январь 2023,Manager 07
PRJ_0134,январь 2023,Manager 06
PRJ_0165,январь 2023,Manager 06
PRJ_0110,январь 2023,Manager 06
PRJ_0017,январь 2023,Manager 01
PRJ_0161,январь 2023,Manager 06
PRJ_0071,январь 2023,Manager 08
PRJ_0122,январь 2023,Manager 08
PRJ_0132,январь 2023,Manager 08
PRJ_0141,январь 2023,Manager 08
PRJ_0072,январь 2023,Manager 08
PRJ_0112,январь 2023,Manager 03
PRJ_0078,январь 2023,Manager 04
PRJ_0029,январь 2023,Manager 08
PRJ_0147,январь 2023,Manager 01
PRJ_0146,январь 2023,Manager 01
PRJ_0166,январь 2023,Manager 03
PRJ_0074,февраль 2023,Manager 01
PRJ_0043,февраль 2023,Manager 06
PRJ_0055,февраль 2023,Manager 01
PRJ_0052,февраль 2023,Manager 08
PRJ_0048,февраль 2023,Manager 02
PRJ_0082,февраль 2023,Manager 02
PRJ_0102,февраль 2023,Manager 01
PRJ_0116,февраль 2023,Manager 06
PRJ_0016,февраль 2023,Manager 06
PRJ_0142,февраль 2023,Manager 08
PRJ_0123,февраль 2023,Manager 01
PRJ_0171,февраль 2023,Manager 01
PRJ_0020,февраль 2023,Manager 06
PRJ_0021,февраль 2023,Manager 02
PRJ_0130,февраль 2023,Manager 01
PRJ_0022,февраль 2023,Manager 06
PRJ_0114,февраль 2023,Manager 01
PRJ_0023,февраль 2023,Manager 01
PRJ_0156,февраль 2023,Manager 06
PRJ_0038,февраль 2023,Manager 06
PRJ_0143,февраль 2023,Manager 08
PRJ_0034,февраль 2023,Manager 08
PRJ_0001,февраль 2023,Manager 02
PRJ_0122,февраль 2023,Manager 08
PRJ_0132,февраль 2023,Manager 08
PRJ_0112,февраль 2023,Manager 01
PRJ_0188,февраль 2023,Manager 04
PRJ_0166,февраль 2023,Manager 03
PRJ_0075,март 2023,Manager 01
PRJ_0080,март 2023,Manager 01
PRJ_0066,март 2023,Manager 07
PRJ_0140,март 2023,Manager 01
PRJ_0163,март 2023,Manager 06
PRJ_0012,март 2023,Manager 01
PRJ_0187,март 2023,Manager 04
PRJ_0165,март 2023,Manager 06
PRJ_0019,март 2023,Manager 02
PRJ_0171,март 2023,Manager 01
PRJ_0130,март 2023,Manager 01
PRJ_0144,март 2023,Manager 06
PRJ_0120,март 2023,Manager 06
PRJ_0138,март 2023,Manager 08
PRJ_0070,март 2023,Manager 02
PRJ_0077,март 2023,Manager 02
PRJ_0119,март 2023,Manager 03
PRJ_0179,март 2023,Manager 07
PRJ_0155,март 2023,Manager 06
PRJ_0031,март 2023,Manager 01
PRJ_0083,март 2023,Manager 01
PRJ_0137,март 2023,Manager 01
PRJ_0137,март 2023,Manager 01
PRJ_0035,март 2023,Manager 08
PRJ_0146,март 2023,Manager 01
PRJ_0146,март 2023,Manager 01
PRJ_0093,март 2023,Manager 04
PRJ_0001,март 2023,Manager 02
PRJ_0192,март 2023,Manager 01
PRJ_0197,март 2023,Manager 08
PRJ_0198,март 2023,Manager 08
PRJ_0199,март 2023,Manager 06
PRJ_0200,март 2023,Manager 06
PRJ_0151,апрель 2023,Manager 01
PRJ_0008,апрель 2023,Manager 01
PRJ_0068,апрель 2023,Manager 01
PRJ_0190,апрель 2023,Manager 01
PRJ_0135,апрель 2023,Manager 06
PRJ_0020,апрель 2023,Manager 06
PRJ_0127,апрель 2023,Manager 01
PRJ_0170,апрель 2023,Manager 06
PRJ_0185,апрель 2023,Manager 04
PRJ_0186,апрель 2023,Manager 04
PRJ_0168,апрель 2023,Manager 08
PRJ_0001,апрель 2023,Manager 02
PRJ_0043,апрель 2023,Manager 06
PRJ_0191,апрель 2023,Manager 08
PRJ_0102,апрель 2023,Manager 01
PRJ_0102,апрель 2023,Manager 01
PRJ_0165,апрель 2023,Manager 06
PRJ_0154,апрель 2023,Manager 06
PRJ_0198,апрель 2023,Manager 08
PRJ_0130,апрель 2023,Manager 01
PRJ_0114,апрель 2023,Manager 01
PRJ_0215,апрель 2023,Manager 08
PRJ_0045,апрель 2023,Manager 06
PRJ_0031,апрель 2023,Manager 01
PRJ_0083,апрель 2023,Manager 01
PRJ_0078,апрель 2023,Manager 04
PRJ_0203,апрель 2023,Manager 06
PRJ_0221,апрель 2023,Manager 01
PRJ_0180,май 2023,Manager 01
PRJ_0017,май 2023,Manager 01
PRJ_0142,май 2023,Manager 07
PRJ_0178,май 2023,Manager 07
PRJ_0037,май 2023,Manager 07
PRJ_0208,май 2023,Manager 01
PRJ_0196,май 2023,Manager 06
PRJ_0233,май 2023,Manager 01
PRJ_0084,май 2023,Manager 02
PRJ_0216,май 2023,Manager 06
PRJ_0220,май 2023,Manager 01
PRJ_0182,май 2023,Manager 02
PRJ_0207,май 2023,Manager 02
PRJ_0223,май 2023,Manager 02
PRJ_0224,май 2023,Manager 02
PRJ_0225,май 2023,Manager 02
PRJ_0226,май 2023,Manager 02
PRJ_0038,май 2023,Manager 06
PRJ_0036,май 2023,Manager 08
PRJ_0235,май 2023,Manager 08
PRJ_0095,май 2023,Manager 08
PRJ_0096,май 2023,Manager 04
PRJ_0001,июнь 2023,Manager 02
PRJ_0085,июнь 2023,Manager 02
PRJ_0159,июнь 2023,Manager 01
PRJ_0153,июнь 2023,Manager 01
PRJ_0219,июнь 2023,Manager 01
PRJ_0011,июнь 2023,Manager 02
PRJ_0187,июнь 2023,Manager 08
PRJ_0053,июнь 2023,Manager 01
PRJ_0194,июнь 2023,Manager 01
PRJ_0228,июнь 2023,Manager 06
PRJ_0015,июнь 2023,Manager 02
PRJ_0102,июнь 2023,Manager 01
PRJ_0190,июнь 2023,Manager 01
PRJ_0019,июнь 2023,Manager 02
PRJ_0171,июнь 2023,Manager 01
PRJ_0197,июнь 2023,Manager 08
PRJ_0198,июнь 2023,Manager 08
PRJ_0041,июнь 2023,Manager 06
PRJ_0237,июнь 2023,Manager 07
PRJ_0114,июнь 2023,Manager 01
PRJ_0179,июнь 2023,Manager 07
PRJ_0104,июнь 2023,Manager 01
PRJ_0236,июнь 2023,Manager 08
PRJ_0242,июнь 2023,Manager 04
PRJ_0205,июнь 2023,Manager 06
PRJ_0251,июнь 2023,Manager 02
PRJ_0143,июнь 2023,Manager 08
PRJ_0035,июнь 2023,Manager 08
PRJ_0204,июнь 2023,Manager 08
PRJ_0168,июнь 2023,Manager 08
PRJ_0243,июнь 2023,Manager 06
PRJ_0192,июль 2023,Manager 01
PRJ_0068,июль 2023,Manager 02
PRJ_0081,июль 2023,Manager 02
PRJ_0229,июль 2023,Manager 08
PRJ_0042,июль 2023,Manager 02
PRJ_0113,июль 2023,Manager 07
PRJ_0097,июль 2023,Manager 06
PRJ_0020,июль 2023,Manager 02
PRJ_0170,июль 2023,Manager 06
PRJ_0217,июль 2023,Manager 02
PRJ_0164,июль 2023,Manager 06
PRJ_0027,июль 2023,Manager 01
PRJ_0206,июль 2023,Manager 07
PRJ_0214,июль 2023,Manager 06
PRJ_0189,июль 2023,Manager 01
PRJ_0231,июль 2023,Manager 07
PRJ_0257,июль 2023,Manager 08
PRJ_0264,июль 2023,Manager 08
PRJ_0114,июль 2023,Manager 01
PRJ_0263,июль 2023,Manager 01
PRJ_0265,июль 2023,Manager 10
PRJ_0259,июль 2023,Manager 07
PRJ_0035,июль 2023,Manager 08
PRJ_0093,август 2023,Manager 08
PRJ_0159,август 2023,Manager 01
PRJ_0230,август 2023,Manager 01
PRJ_0017,август 2023,Manager 01
PRJ_0018,август 2023,Manager 01
PRJ_0229,август 2023,Manager 07
PRJ_0041,август 2023,Manager 06
PRJ_0022,август 2023,Manager 06
PRJ_0239,август 2023,Manager 07
PRJ_0234,август 2023,Manager 08
PRJ_0246,август 2023,Manager 08
PRJ_0133,август 2023,Manager 06
PRJ_0202,август 2023,Manager 07
PRJ_0121,август 2023,Manager 08
PRJ_0255,август 2023,Manager 01
PRJ_0033,август 2023,Manager 07
PRJ_0035,август 2023,Manager 08
PRJ_0185,август 2023,Manager 04
PRJ_0271,август 2023,Manager 01
PRJ_0279,август 2023,Manager 01
PRJ_0269,август 2023,Manager 02
PRJ_0276,август 2023,Manager 08
PRJ_0114,август 2023,Manager 01
PRJ_0155,август 2023,Manager 02
PRJ_0216,август 2023,Manager 06
PRJ_0227,август 2023,Manager 02
PRJ_0043,сентябрь 2023,Manager 06
PRJ_0066,сентябрь 2023,Manager 07
PRJ_0151,сентябрь 2023,Manager 01
PRJ_0211,сентябрь 2023,Manager 08
PRJ_0163,сентябрь 2023,Manager 06
PRJ_0194,сентябрь 2023,Manager 01
PRJ_0260,сентябрь 2023,Manager 07
PRJ_0014,сентябрь 2023,Manager 06
PRJ_0136,сентябрь 2023,Manager 07
PRJ_0247,сентябрь 2023,Manager 01
PRJ_0248,сентябрь 2023,Manager 01
PRJ_0249,сентябрь 2023,Manager 01
PRJ_0019,сентябрь 2023,Manager 04
PRJ_0131,сентябрь 2023,Manager 06
PRJ_0171,сентябрь 2023,Manager 03
PRJ_0201,сентябрь 2023,Manager 06
PRJ_0212,сентябрь 2023,Manager 06
PRJ_0275,сентябрь 2023,Manager 07
PRJ_0197,сентябрь 2023,Manager 08
PRJ_0198,сентябрь 2023,Manager 08
PRJ_0274,сентябрь 2023,Manager 08
PRJ_0254,сентябрь 2023,Manager 08
PRJ_0045,сентябрь 2023,Manager 07
PRJ_0045,сентябрь 2023,Manager 06
PRJ_0267,сентябрь 2023,Manager 07
PRJ_0078,сентябрь 2023,Manager 04
PRJ_0244,сентябрь 2023,Manager 06
PRJ_0301,сентябрь 2023,Manager 06
PRJ_0192,сентябрь 2023,Manager 01
PRJ_0187,сентябрь 2023,Manager 08
PRJ_0180,сентябрь 2023,Manager 07
PRJ_0238,сентябрь 2023,Manager 07
PRJ_0284,сентябрь 2023,Manager 07
PRJ_0297,сентябрь 2023,Manager 08
PRJ_0020,сентябрь 2023,Manager 08
PRJ_0269,сентябрь 2023,Manager 08
PRJ_0239,сентябрь 2023,Manager 07
PRJ_0246,сентябрь 2023,Manager 08
PRJ_0290,сентябрь 2023,Manager 06
PRJ_0218,сентябрь 2023,Manager 02
PRJ_0186,сентябрь 2023,Manager 04
PRJ_0283,сентябрь 2023,Manager 04
PRJ_0013,октябрь 2023,Manager 07
PRJ_0060,октябрь 2023,Manager 07
PRJ_0299,октябрь 2023,Manager 01
PRJ_0174,октябрь 2023,Manager 01
PRJ_0113,октябрь 2023,Manager 07
PRJ_0222,октябрь 2023,Manager 03
PRJ_0170,октябрь 2023,Manager 07
PRJ_0213,октябрь 2023,Manager 01
PRJ_0285,октябрь 2023,Manager 08
PRJ_0179,октябрь 2023,Manager 07
PRJ_0281,октябрь 2023,Manager 07
PRJ_0286,октябрь 2023,Manager 07
PRJ_0287,октябрь 2023,Manager 07
PRJ_0150,октябрь 2023,Manager 08
PRJ_0295,октябрь 2023,Manager 01
PRJ_0232,октябрь 2023,Manager 01
PRJ_0291,октябрь 2023,Manager 01
PRJ_0305,октябрь 2023,Manager 03
PRJ_0302,октябрь 2023,Manager 01
PRJ_0288,октябрь 2023,Manager 07
PRJ_0279,октябрь 2023,Manager 01
PRJ_0269,октябрь 2023,Manager 08
PRJ_0072,октябрь 2023,Manager 03
PRJ_0282,октябрь 2023,Manager 07
PRJ_0306,ноябрь 2023,Manager 04
PRJ_0195,ноябрь 2023,Manager 03
PRJ_0008,ноябрь 2023,Manager 07
PRJ_0017,ноябрь 2023,Manager 03
PRJ_0266,ноябрь 2023,Manager 07
PRJ_0142,ноябрь 2023,Manager 07
PRJ_0284,ноябрь 2023,Manager 07
PRJ_0154,ноябрь 2023,Manager 07
PRJ_0278,ноябрь 2023,Manager 07
PRJ_0209,ноябрь 2023,Manager 06
PRJ_0258,ноябрь 2023,Manager 06
PRJ_0197,ноябрь 2023,Manager 08
PRJ_0198,ноябрь 2023,Manager 08
PRJ_0254,ноябрь 2023,Manager 08
PRJ_0309,ноябрь 2023,Manager 06
PRJ_0282,ноябрь 2023,Manager 07
PRJ_0046,ноябрь 2023,Manager 01
PRJ_0031,ноябрь 2023,Manager 01
PRJ_0083,ноябрь 2023,Manager 01
PRJ_0252,ноябрь 2023,Manager 01
PRJ_0240,ноябрь 2023,Manager 08
PRJ_0308,ноябрь 2023,Manager 08
PRJ_0293,ноябрь 2023,Manager 08
PRJ_0245,ноябрь 2023,Manager 06
PRJ_0262,ноябрь 2023,Manager 07
PRJ_0034,ноябрь 2023,Manager 08
PRJ_0261,ноябрь 2023,Manager 01
PRJ_0314,ноябрь 2023,Manager 07
PRJ_0286,ноябрь 2023,Manager 07
PRJ_0305,ноябрь 2023,Manager 03
PRJ_0113,ноябрь 2023,Manager 07
PRJ_0269,ноябрь 2023,Manager 08
PRJ_0304,ноябрь 2023,Manager 08
PRJ_0313,ноябрь 2023,Manager 05
PRJ_0026,ноябрь 2023,Manager 03
PRJ_0072,ноябрь 2023,Manager 03
PRJ_0255,ноябрь 2023,Manager 01
PRJ_0295,ноябрь 2023,Manager 01
PRJ_0231,ноябрь 2023,Manager 07
PRJ_0310,ноябрь 2023,Manager 03
PRJ_0054,декабрь 2023,Manager 03
PRJ_0085,декабрь 2023,Manager 03
PRJ_0101,декабрь 2023,Manager 01
PRJ_0291,декабрь 2023,Manager 01
PRJ_0151,декабрь 2023,Manager 01
PRJ_0230,декабрь 2023,Manager 01
PRJ_0296,декабрь 2023,Manager 09
PRJ_0298,декабрь 2023,Manager 07
PRJ_0004,декабрь 2023,Manager 06
PRJ_0169,декабрь 2023,Manager 06
PRJ_0181,декабрь 2023,Manager 06
PRJ_0006,декабрь 2023,Manager 06
PRJ_0007,декабрь 2023,Manager 07
PRJ_0009,декабрь 2023,Manager 07
PRJ_0010,декабрь 2023,Manager 07
PRJ_0300,декабрь 2023,Manager 07
PRJ_0303,декабрь 2023,Manager 07
PRJ_0277,декабрь 2023,Manager 07
PRJ_0187,декабрь 2023,Manager 08
PRJ_0018,декабрь 2023,Manager 01
PRJ_0174,декабрь 2023,Manager 01
PRJ_0019,декабрь 2023,Manager 04
PRJ_0125,декабрь 2023,Manager 07
PRJ_0171,декабрь 2023,Manager 03
PRJ_0201,декабрь 2023,Manager 06
PRJ_0289,декабрь 2023,Manager 07
PRJ_0253,декабрь 2023,Manager 06
PRJ_0250,декабрь 2023,Manager 07
PRJ_0210,декабрь 2023,Manager 06
PRJ_0020,декабрь 2023,Manager 08
PRJ_0176,декабрь 2023,Manager 01
PRJ_0173,декабрь 2023,Manager 01
PRJ_0172,декабрь 2023,Manager 01
PRJ_0175,декабрь 2023,Manager 01
PRJ_0162,декабрь 2023,Manager 06
PRJ_0170,декабрь 2023,Manager 07
PRJ_0270,декабрь 2023,Manager 06
PRJ_0272,декабрь 2023,Manager 06
PRJ_0273,декабрь 2023,Manager 06
PRJ_0312,декабрь 2023,Manager 07
PRJ_0307,декабрь 2023,Manager 08
PRJ_0023,декабрь 2023,Manager 01
PRJ_0025,декабрь 2023,Manager 03
PRJ_0118,декабрь 2023,Manager 03
PRJ_0167,декабрь 2023,Manager 07
PRJ_0133,декабрь 2023,Manager 06
PRJ_0177,декабрь 2023,Manager 06
PRJ_0193,декабрь 2023,Manager 01
PRJ_0104,декабрь 2023,Manager 03
PRJ_0112,декабрь 2023,Manager 03
PRJ_0028,декабрь 2023,Manager 01
PRJ_0256,декабрь 2023,Manager 01
PRJ_0286,декабрь 2023,Manager 07
PRJ_0287,декабрь 2023,Manager 07
PRJ_0062,декабрь 2023,Manager 01
PRJ_0078,декабрь 2023,Manager 08
PRJ_0241,декабрь 2023,Manager 08
PRJ_0137,декабрь 2023,Manager 01
PRJ_0292,декабрь 2023,Manager 01
PRJ_0183,декабрь 2023,Manager 08
PRJ_0184,декабрь 2023,Manager 08
PRJ_0203,декабрь 2023,Manager 03
PRJ_0206,декабрь 2023,Manager 09
PRJ_0044,декабрь 2023,Manager 07
PRJ_0294,декабрь 2023,Manager 07
PRJ_0311,декабрь 2023,Manager 10
PRJ_0036,декабрь 2023,Manager 08
PRJ_0188,декабрь 2023,Manager 08
PRJ_0268,декабрь 2023,Manager 07
